date,description,amount
2024-06-01,Direct Deposit - Employer Payroll,3200.00
2024-06-02,Rent Payment,-1400.00
2024-06-03,Whole Foods Market,-87.50
2024-06-04,Starbucks Coffee,-6.25
2024-06-05,Netflix,-15.99
2024-06-06,Uber,-14.30
2024-06-07,Chipotle Mexican Grill,-13.45
2024-06-08,Spotify Premium,-9.99
2024-06-09,Shell Gas Station,-52.00
2024-06-10,Amazon Purchase,-34.99
2024-06-11,Target,-67.80
2024-06-12,Walgreens Pharmacy,-28.50
2024-06-13,Lyft,-11.20
2024-06-14,DoorDash - Pizza Hut,-32.00
2024-06-15,AMC Theaters,-18.00
2024-06-16,Trader Joe's,-74.30
2024-06-17,Comcast Internet,-79.99
2024-06-18,CVS Pharmacy,-15.00
2024-06-19,Uber Eats - Sushi,-41.50
2024-06-20,Adobe Creative Cloud,-54.99
2024-06-21,Ticketmaster Concert,-85.00
2024-06-22,Kroger Grocery,-92.10
2024-06-23,Parking Meter,-8.00
2024-06-24,H&M Clothing,-55.00
2024-06-25,Hulu Subscription,-17.99
2024-06-26,Subway Metro Card,-33.00
2024-06-27,Best Buy Electronics,-129.00
2024-06-28,Venmo Credit - Rent Split,200.00
2024-06-29,Zara Online,-79.00
2024-06-30,Instacart Grocery,-63.40
